total_games,1000000
state,p1_wins,p2_wins,draws
000101002,2141,1627,179
200101002,710,618,0
201101002,333,461,0
221101002,388,211,0
221101012,374,358,0
221101212,1639,0,0
221111212,4842,0,0
022100001,749,635,0
022101001,214,615,0
022101201,301,298,0
022111201,588,0,0
000012001,3106,251,558
021012001,628,0,136
021212001,586,0,0
021212101,600,0,0
000100120,2543,874,544
020100120,943,450,0
020110120,737,71,0
022110120,486,122,0
022111120,574,0,0
021001000,2583,856,609
021001020,943,441,0
121001020,339,453,0
121021020,0,582,0
100022100,826,574,0
100222101,0,656,0
210211000,315,292,126
210211200,0,585,0
220100010,588,562,151
220110010,336,318,146
220112010,196,176,242
220112011,0,393,416
220112211,0,0,1612
220010010,633,554,145
220110012,488,115,0
221110012,800,0,0
221112012,1527,0,0
221112112,4641,0,0
110022100,379,399,0
110022102,390,170,0
200001012,627,673,0
200011012,636,140,0
200211012,478,95,0
210211012,608,0,0
020121000,353,863,144
020121100,188,607,0
022121100,308,315,0
022121110,394,387,0
002001001,1535,1819,600
022001001,629,713,0
022101021,280,311,0
122101021,388,411,0
122121021,0,1255,0
002100201,701,651,0
002101201,316,511,0
202101201,306,316,0
202101211,0,824,0
122112000,436,104,0
122112001,548,0,0
210200100,997,239,141
210200110,600,206,0
211202110,376,406,0
211222110,0,1235,0
220100110,357,457,0
220100112,220,405,0
221100112,376,382,0
221102112,1520,0,0
010200201,701,640,0
010210201,476,312,0
012210201,495,95,0
012210211,591,0,0
000201102,678,126,540
010201102,420,124,295
010201122,388,0,218
110201122,404,0,401
112201122,0,0,1600
122001100,595,77,122
122001102,350,0,171
122001112,392,0,386
122201112,0,0,1608
002121000,289,890,129
012121000,135,545,128
012121020,204,179,176
012121021,0,398,403
000012211,609,68,150
200012211,261,103,196
120002112,501,101,0
120012112,410,423,0
020110201,593,57,136
022110201,523,97,0
002010010,2612,1193,190
002010210,1185,157,0
002010211,649,206,0
202010211,308,309,0
222011211,0,1168,0
000100012,1879,1754,402
000100212,759,352,270
010102212,457,106,0
011102212,795,0,0
011122212,1567,0,0
100120000,2109,1515,377
100122000,963,242,146
102122010,307,326,0
102122211,0,1212,0
000011212,588,62,125
020011212,405,0,183
120011212,368,0,385
120211212,0,0,1578
101020200,843,179,243
101021200,524,131,129
101021220,383,199,0
101121220,0,792,0
210010000,2710,628,596
210010200,783,392,144
211010200,197,447,115
211010202,307,296,0
211110202,407,389,0
211110222,0,1174,0
210100000,1703,1239,974
212100000,692,338,276
212101000,410,252,112
212101020,415,0,189
212121120,0,0,1525
200011002,1208,173,0
210011002,637,154,0
210011202,422,223,0
210111202,606,0,0
001020100,1480,1973,390
021020100,491,669,143
021120100,334,456,0
021120120,0,608,0
001200102,1005,195,144
101200102,600,53,138
010012020,840,212,258
010012021,525,0,262
010012221,378,0,209
011012221,391,0,391
012100000,1811,1721,416
012100200,600,747,0
012100210,306,446,0
012100212,309,283,0
012101212,378,404,0
212101212,1608,0,0
212111212,1608,0,0
120012100,761,67,0
